product,img,score,title,pros,cons,body
Skechers Oak Canyon wandelschoenen - Heren - Grijs - Maat 43,https://media.s-bol.com/pkWVqKkMoQ6V/550x371.jpg,klantbeoordeling: 1 van de 5 sterren,Slecht,[],"['Voldoet niet aan verwachting', 'Slechte kwaliteit']",Heb ze net een maand en nu is de stof van binnen al kapot waardoor ik steeds blaar creer op mijn kleine teen
Skechers Oak Canyon wandelschoenen - Heren - Grijs - Maat 43,https://media.s-bol.com/pkWVqKkMoQ6V/550x371.jpg,klantbeoordeling: 5 van de 5 sterren,"Geweldig, veel gelachen, en leuk spel om te spelen",[],[],"dit is een spel wat je met het hele gezin kan doen, we hebben er veel om gelachen.en is een gezellig spel"
Skechers Oak Canyon wandelschoenen - Heren - Grijs - Maat 43,https://media.s-bol.com/pkWVqKkMoQ6V/550x371.jpg,klantbeoordeling: 5 van de 5 sterren,Fijne wandelschoen van Sketcher.,"['Voldoet aan verwachting', 'Goede kwaliteit']",[],"Fijne soepele schoen met toch wat extra steun...geen zere voeten na een lange wandeling, zeker goed voor het geld."
Skechers Oak Canyon wandelschoenen - Heren - Grijs - Maat 43,https://media.s-bol.com/pkWVqKkMoQ6V/550x371.jpg,klantbeoordeling: 5 van de 5 sterren,Wandelschoenen,"['Voldoet aan verwachting', 'Goede kwaliteit']",['Matige kwaliteit veters'],"Prima pasvorm, lopen lekker"
Skechers Oak Canyon wandelschoenen - Heren - Grijs - Maat 43,https://media.s-bol.com/pkWVqKkMoQ6V/550x371.jpg,klantbeoordeling: 5 van de 5 sterren,Mooie boot,"['Goede kwaliteit', 'Kleur komt overeen met afbeelding']",['Valt klein'],"Stijlvol en toch modern. Lekker voetbed. Heb zelf maat 42 en gekocht in maat 43, vind ze wel aan de krappe kant vallen"
Skechers Oak Canyon wandelschoenen - Heren - Grijs - Maat 43,https://media.s-bol.com/pkWVqKkMoQ6V/550x371.jpg,klantbeoordeling: 2 van de 5 sterren,Slechte wandelschoen omdat ze niet tegen vocht kunnen,"['Kleur komt overeen met afbeelding', 'lopen lekker']","['voldoet niet aan verwachting', 'slechte kwaliteit', 'absoluut niet waterafstotend']","Schoenen lopen lekker, maar het woordje 'waterafstotend' is een lachertje. Dus voor mooi weer zijn ze prima.De reden dat mijn man deze koos was juist omdat ze waterafstotend zouden zijn. Maar je kan er niet eens mee door vochtig gras lopen. Na mail contract met Scapino kwamen we niet verder."
"Columbia TRAILSTORM WATERPROOF Wandelschoenen Dames - Graphite, Dolph - Maat 38",https://media.s-bol.com/RXGpo1xKRAnw/0PB3N5/550x346.jpg,klantbeoordeling: 5 van de 5 sterren,Fijne wandelschoen,"['voldoet aan verwachting', 'Goede kwaliteit', 'handig in gebruik']",[],"Fijne wandelschoen, let op bij tenen wel vrij smal"
Grisport Sherpa Wandelschoenen Unisex - Brown - Maat 39,https://media.s-bol.com/7zOYYO7xvR8y/6Qo69l/550x509.jpg,klantbeoordeling: 4 van de 5 sterren,Goede schoen voor iedereen,"['voldoet aan verwachting', 'Goede kwaliteit']",[],Goeie stevige wandelschoen. Met ondersteuning waar het hoort. Eerste keer erop lopen is even wennen maar de schoen gaat daarna naar je voeten zitten
Grisport Sherpa Wandelschoenen Unisex - Brown - Maat 39,https://media.s-bol.com/7zOYYO7xvR8y/6Qo69l/550x509.jpg,klantbeoordeling: 5 van de 5 sterren,Fijne schoenen,"['voldoet aan verwachting', 'Goede kwaliteit', 'Kleur komt overeen met afbeelding']",[],"Best raar, op reviews afgaan bij Bol voor wandelschoenen?  Achja, het ik lockdown, dus beholpen allemaal, wie niet waagt ... etc. Maar wauw, wat zitten ze lekker! Ik heb ze dagelijks naar m'n werk aan,(staand, wandelend beroep, 0 blaren gehad) Ik ben een vrouw, maat 38 en ondanks dat het 'echte mannenkleding' is, zitten ze als gegoten. Daarnet blokkie om in de sneeuw, je glijdt niet uit, stevige grip, fijne zool, goede steun, kortom, echt een aanwinst!"
Grisport Sherpa Wandelschoenen Unisex - Brown - Maat 39,https://media.s-bol.com/7zOYYO7xvR8y/6Qo69l/550x509.jpg,klantbeoordeling: 5 van de 5 sterren,"Lompe, maar zeer goede wandelschoen","['voldoet aan verwachting', 'Goede kwaliteit', 'handig in gebruik']",[],"Ik wandel al 4 jaren op de Grisport Sherpa en ik vind het de fijnste wandelschoen ever. Ik loop gemiddeld per tocht 20 tot 30 km per dag en dan vaak ook nog meerdere dagen achter elkaar met overnachtingen. Ik heb een nieuw paar aangeschaft nadat mijn eerste paar na 4 jaren was versleten. De Grisport Sherpa is een lompe, maar zeer goede en degelijke wandelschoen die zeer lang mee gaat. Ook loop ik er nooit geen blaren in."
